"HS96","HS96part","HS02","HS02part","Comment"
"0906.20",0,"0906.20",0,
"0907.00",0,"0907.00",0,
"0908.10",0,"0908.10",0,
"0908.20",0,"0908.20",0,
"0908.30",0,"0908.30",0,
"0909.10",0,"0909.10",0,
"0909.20",0,"0909.20",0,
"0909.30",0,"0909.30",0,
"0909.40",0,"0909.40",0,
"0909.50",0,"0909.50",0,
"0910.10",0,"0910.10",0,
"0910.20",0,"0910.20",0,
"0910.30",0,"0910.30",0,
"0910.40",0,"0910.40",0,
"0910.50",0,"0910.50",0,
"0910.91",0,"0910.91",0,
"0910.99",0,"0910.99",0,
"1001.10",0,"1001.10",0,
"1001.90",0,"1001.90",0,
"1002.00",0,"1002.00",0,
"1003.00",0,"1003.00",0,
"1004.00",0,"1004.00",0,
"1005.10",0,"1005.10",0,
"1005.90",0,"1005.90",0,
"1006.10",0,"1006.10",0,
"1006.20",0,"1006.20",0,
"1006.30",0,"1006.30",0,
"1006.40",0,"1006.40",0,
"1007.00",0,"1007.00",0,
"1008.10",0,"1008.10",0,
"1008.20",0,"1008.20",0,
"1008.30",0,"1008.30",0,
"1008.90",0,"1008.90",0,
"1101.00",0,"1101.00",0,
"1102.10",0,"1102.10",0,
"1102.20",0,"1102.20",0,
"1102.30",0,"1102.30",0,
"1102.90",0,"1102.90",0,
"1103.11",0,"1103.11",0,
"1103.12",0,"1103.19",1,
"1103.13",0,"1103.13",0,
"1103.14",0,"1103.19",1,
"1103.19",0,"1103.19",1,
"1103.21",0,"1103.20",1,
"1103.29",0,"1103.20",1,
"1104.11",0,"1104.19",1,
"1104.12",0,"1104.12",0,
"1104.19",0,"1104.19",1,
"1104.21",0,"1104.29",1,
"1104.22",0,"1104.22",0,
"1104.23",0,"1104.23",0,
"1104.29",0,"1104.29",1,
"1104.30",0,"1104.30",0,
"1105.10",0,"1105.10",0,
"1105.20",0,"1105.20",0,
"1106.10",0,"1106.10",0,
"1106.20",0,"1106.20",0,
"1106.30",0,"1106.30",0,
"1107.10",0,"1107.10",0,
"1107.20",0,"1107.20",0,
"1108.11",0,"1108.11",0,
"1108.12",0,"1108.12",0,
"1108.13",0,"1108.13",0,
"1108.14",0,"1108.14",0,
"1108.19",0,"1108.19",0,
"1108.20",0,"1108.20",0,
"1109.00",0,"1109.00",0,
"1201.00",0,"1201.00",0,
"1202.10",0,"1202.10",0,
"1202.20",0,"1202.20",0,
"1203.00",0,"1203.00",0,
"1204.00",0,"1204.00",0,
"1205.00",1,"1205.10",0,
"1205.00",1,"1205.90",0,
"1206.00",0,"1206.00",0,
"1207.10",0,"1207.10",0,
"1207.20",0,"1207.20",0,
"1207.30",0,"1207.30",0,
"1207.40",0,"1207.40",0,
"1207.50",0,"1207.50",0,
"1207.60",0,"1207.60",0,
"1207.91",0,"1207.91",0,
"1207.92",0,"1207.99",1,
"1207.99",0,"1207.99",1,
"1208.10",0,"1208.10",0,
"1208.90",0,"1208.90",0,
"1209.11",0,"1209.10",0,
"1209.19",0,"1209.29",1,
"1209.21",0,"1209.21",0,
"1209.22",0,"1209.22",0,
"1209.23",0,"1209.23",0,
"1209.24",0,"1209.24",0,
"1209.25",0,"1209.25",0,
"1209.26",0,"1209.26",0,
"1209.29",0,"1209.29",1,
"1209.30",0,"1209.30",0,
"1209.91",0,"1209.91",0,
"1209.99",0,"1209.99",0,
"1210.10",0,"1210.10",0,
"1210.20",0,"1210.20",0,
"1211.10",0,"1211.10",0,
"1211.20",0,"1211.20",0,
"1211.90",1,"1211.30",0,
"1211.90",1,"1211.40",0,
"1211.90",1,"1211.90",0,
"1212.10",0,"1212.10",0,
"1212.20",0,"1212.20",0,
"1212.30",0,"1212.30",0,
"1212.91",0,"1212.91",0,
"1212.92",0,"1212.99",1,
"1212.99",0,"1212.99",1,
"1213.00",0,"1213.00",0,
"1214.10",0,"1214.10",0,
"1214.90",0,"1214.90",0,
"1301.10",0,"1301.10",0,
"1301.20",0,"1301.20",0,
"1301.90",0,"1301.90",0,
"1302.11",1,"1302.11",0,
"1302.11",1,"2939.11",1,
"1302.12",0,"1302.12",0,
"1302.13",0,"1302.13",0,
"1302.14",0,"1302.14",0,
"1302.19",0,"1302.19",0,
"1302.20",0,"1302.20",0,
"1302.31",0,"1302.31",0,
"1302.32",0,"1302.32",0,
"1302.39",0,"1302.39",0,
"1401.10",0,"1401.10",0,
"1401.20",0,"1401.20",0,
"1401.90",0,"1401.90",0,
"1402.10",0,"1402.00",1,
"1402.90",0,"1402.00",1,
"1403.10",0,"1403.00",1,
"1403.90",0,"1403.00",1,
"1404.10",0,"1404.10",0,
"1404.20",0,"1404.20",0,
"1404.90",0,"1404.90",0,
"1501.00",0,"1501.00",0,
"1502.00",0,"1502.00",0,
"1503.00",0,"1503.00",0,
"1504.10",0,"1504.10",0,
"1504.20",0,"1504.20",0,
"1504.30",0,"1504.30",0,
"1505.10",0,"1505.00",1,
"1505.90",0,"1505.00",1,
"1506.00",0,"1506.00",0,
"1507.10",0,"1507.10",0,
"1507.90",0,"1507.90",0,
"1508.10",0,"1508.10",0,
"1508.90",0,"1508.90",0,
"1509.10",0,"1509.10",0,
"1509.90",0,"1509.90",0,
"1510.00",0,"1510.00",0,
"1511.10",0,"1511.10",0,
"1511.90",0,"1511.90",0,
"1512.11",0,"1512.11",0,
"1512.19",0,"1512.19",0,
"1512.21",0,"1512.21",0,
"1512.29",0,"1512.29",0,
"1513.11",0,"1513.11",0,
"1513.19",0,"1513.19",0,
"1513.21",0,"1513.21",0,
"1513.29",0,"1513.29",0,
"1514.10",1,"1514.11",0,
"1514.10",1,"1514.91",0,
"1514.90",1,"1514.19",0,
"1514.90",1,"1514.99",0,
"1515.11",0,"1515.11",0,
"1515.19",0,"1515.19",0,
"1515.21",0,"1515.21",0,
"1515.29",0,"1515.29",0,
"1515.30",0,"1515.30",0,
"1515.40",0,"1515.40",0,
"1515.50",0,"1515.50",0,
"1515.60",0,"1515.90",1,
"1515.90",0,"1515.90",1,
"1516.10",0,"1516.10",0,
"1516.20",0,"1516.20",0,
"1517.10",0,"1517.10",0,
"1517.90",0,"1517.90",0,
"1518.00",0,"1518.00",0,
"1520.00",0,"1520.00",0,
"1521.10",0,"1521.10",0,
"1521.90",0,"1521.90",0,
"1522.00",0,"1522.00",0,
"1601.00",0,"1601.00",0,
"1602.10",0,"1602.10",0,
"1602.20",0,"1602.20",0,
"1602.31",0,"1602.31",0,
"1602.32",0,"1602.32",0,
"1602.39",0,"1602.39",0,
"1602.41",0,"1602.41",0,
"1602.42",0,"1602.42",0,
"1602.49",0,"1602.49",0,
"1602.50",0,"1602.50",0,
"1602.90",0,"1602.90",0,
"1603.00",0,"1603.00",0,
"1604.11",0,"1604.11",0,
"1604.12",0,"1604.12",0,
"1604.13",0,"1604.13",0,
"1604.14",0,"1604.14",0,
"1604.15",0,"1604.15",0,
"1604.16",0,"1604.16",0,
"1604.19",0,"1604.19",0,
"1604.20",0,"1604.20",0,
"1604.30",0,"1604.30",0,
"1605.10",0,"1605.10",0,
"1605.20",0,"1605.20",0,
"1605.30",0,"1605.30",0,
"1605.40",0,"1605.40",0,
"1605.90",0,"1605.90",0,
"1701.11",0,"1701.11",0,
"1701.12",0,"1701.12",0,
"1701.91",0,"1701.91",0,
"1701.99",0,"1701.99",0,
"1702.11",0,"1702.11",0,
"1702.19",0,"1702.19",0,
"1702.20",0,"1702.20",0,
"1702.30",0,"1702.30",0,
"1702.40",0,"1702.40",0,
"1702.50",0,"1702.50",0,
"1702.60",0,"1702.60",0,
"1702.90",0,"1702.90",0,
"1703.10",0,"1703.10",0,
"1703.90",0,"1703.90",0,
"1704.10",0,"1704.10",0,
"1704.90",0,"1704.90",0,
"1801.00",0,"1801.00",0,
"1802.00",0,"1802.00",0,
"1803.10",0,"1803.10",0,
"1803.20",0,"1803.20",0,
"1804.00",0,"1804.00",0,
"1805.00",0,"1805.00",0,
"1806.10",0,"1806.10",0,
"1806.20",0,"1806.20",0,
"1806.31",0,"1806.31",0,
"1806.32",0,"1806.32",0,
"1806.90",0,"1806.90",0,
"1901.10",0,"1901.10",0,
"1901.20",0,"1901.20",0,
"1901.90",0,"1901.90",0,
"1902.11",0,"1902.11",0,
"1902.19",0,"1902.19",0,
"1902.20",0,"1902.20",0,
"1902.30",0,"1902.30",0,
"1902.40",0,"1902.40",0,
"1903.00",0,"1903.00",0,
"1904.10",0,"1904.10",0,
"1904.20",0,"1904.20",0,
"1904.90",1,"1904.30",0,
"1904.90",1,"1904.90",0,
"1905.10",0,"1905.10",0,
"1905.20",0,"1905.20",0,
"1905.30",1,"1905.31",0,
"1905.30",1,"1905.32",0,
"1905.40",0,"1905.40",0,
"1905.90",0,"1905.90",0,
"2001.10",0,"2001.10",0,
"2001.20",0,"2001.90",1,
"2001.90",0,"2001.90",1,
"2002.10",0,"2002.10",0,
"2002.90",0,"2002.90",0,
"2003.10",1,"2003.10",0,
"2003.10",1,"2003.90",0,
"2003.20",0,"2003.20",0,
"2004.10",0,"2004.10",0,
"2004.90",0,"2004.90",0,
"2005.10",0,"2005.10",0,
"2005.20",0,"2005.20",0,
"2005.40",0,"2005.40",0,
"2005.51",0,"2005.51",0,
"2005.59",0,"2005.59",0,
"2005.60",0,"2005.60",0,
"2005.70",0,"2005.70",0,
"2005.80",0,"2005.80",0,
"2005.90",0,"2005.90",0,
"2006.00",0,"2006.00",0,
"2007.10",0,"2007.10",0,
"2007.91",0,"2007.91",0,
"2007.99",0,"2007.99",0,
"2008.11",0,"2008.11",0,
"2008.19",0,"2008.19",0,
"2008.20",0,"2008.20",0,
"2008.30",0,"2008.30",0,
"2008.40",0,"2008.40",0,
"2008.50",0,"2008.50",0,
"2008.60",0,"2008.60",0,
"2008.70",0,"2008.70",0,
"2008.80",0,"2008.80",0,
"2008.91",0,"2008.91",0,
"2008.92",0,"2008.92",0,
"2008.99",0,"2008.99",0,
"2009.11",0,"2009.11",0,
"2009.19",1,"2009.12",0,
"2009.19",1,"2009.19",0,
"2009.20",1,"2009.21",0,
"2009.20",1,"2009.29",0,
"2009.30",1,"2009.31",0,
"2009.30",1,"2009.39",0,
"2009.40",1,"2009.41",0,
"2009.40",1,"2009.49",0,
"2009.50",0,"2009.50",0,
"2009.60",1,"2009.61",0,
"2009.60",1,"2009.69",0,
"2009.70",1,"2009.71",0,
"2009.70",1,"2009.79",0,
"2009.80",0,"2009.80",0,
"2009.90",0,"2009.90",0,
"2101.11",0,"2101.11",0,
"2101.12",0,"2101.12",0,
"2101.20",0,"2101.20",0,
"2101.30",0,"2101.30",0,
"2102.10",0,"2102.10",0,
"2102.20",0,"2102.20",0,
"2102.30",0,"2102.30",0,
"2103.10",0,"2103.10",0,
"2103.20",0,"2103.20",0,
"2103.30",0,"2103.30",0,
"2103.90",0,"2103.90",0,
"2104.10",0,"2104.10",0,
"2104.20",0,"2104.20",0,
"2105.00",0,"2105.00",0,
"2106.10",0,"2106.10",0,
"2106.90",0,"2106.90",0,
"2201.10",0,"2201.10",0,
"2201.90",0,"2201.90",0,
"2202.10",0,"2202.10",0,
"2202.90",0,"2202.90",0,
"2203.00",0,"2203.00",0,
"2204.10",0,"2204.10",0,
"2204.21",0,"2204.21",0,
"2204.29",0,"2204.29",0,
"2204.30",0,"2204.30",0,
"2205.10",0,"2205.10",0,
"2205.90",0,"2205.90",0,
"2206.00",0,"2206.00",0,
"2207.10",0,"2207.10",0,
"2207.20",0,"2207.20",0,
"2208.20",0,"2208.20",0,
"2208.30",0,"2208.30",0,
"2208.40",0,"2208.40",0,
"2208.50",0,"2208.50",0,
"2208.60",0,"2208.60",0,
"2208.70",0,"2208.70",0,
"2208.90",0,"2208.90",0,
"2209.00",0,"2209.00",0,
"2301.10",0,"2301.10",0,
"2301.20",0,"2301.20",0,
"2302.10",0,"2302.10",0,
"2302.20",0,"2302.20",0,
"2302.30",0,"2302.30",0,
"2302.40",0,"2302.40",0,
"2302.50",0,"2302.50",0,
"2303.10",0,"2303.10",0,
"2303.20",0,"2303.20",0,
"2303.30",0,"2303.30",0,
"2304.00",0,"2304.00",0,
"2305.00",0,"2305.00",0,
"2306.10",0,"2306.10",0,
"2306.20",0,"2306.20",0,
"2306.30",0,"2306.30",0,
"2306.40",1,"2306.41",0,
"2306.40",1,"2306.49",0,
"2306.50",0,"2306.50",0,
"2306.60",0,"2306.60",0,
