5 - Matrículas;;;;;;;;;;;;;;;;;
5.1 - Matrículas em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Matrículas em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
;;Particular;12.114;10.237;1.877;. ;. ;. ;. ;. ;. ;12.114;10.237;1.877;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Tocantins;;;33.957;12.845;21.112;8.823;3.803;5.020;10.195;4.697;5.498;14.354;3.843;10.511;585;502;83
;Pública;;14.906;4.305;10.601;8.823;3.803;5.020;5.498;. ;5.498;. ;. ;. ;585;502;83
;;Federal;9.357;4.254;5.103;8.772;3.752;5.020;. ;. ;. ;. ;. ;. ;585;502;83
;;Estadual;51;51;. ;51;51;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;5.498;. ;5.498;. ;. ;. ;5.498;. ;5.498;. ;. ;. ;. ;. ;. 
;Privada;;19.051;8.540;10.511;. ;. ;. ;4.697;4.697;. ;14.354;3.843;10.511;. ;. ;. 
;;Particular;9.819;1.926;7.893;. ;. ;. ;. ;. ;. ;9.819;1.926;7.893;. ;. ;. 
;;Comun/Confes;9.232;6.614;2.618;. ;. ;. ;4.697;4.697;. ;4.535;1.917;2.618;. ;. ;. 
;;;;;;;;;;;;;;;;;
Nordeste;;;965.502;605.231;360.271;478.668;293.455;185.213;48.116;48.116;. ;420.191;251.285;168.906;18.527;12.375;6.152
;Pública;;409.393;206.506;202.887;371.050;193.548;177.502;. ;. ;. ;19.816;583;19.233;18.527;12.375;6.152
;;Federal;239.561;170.322;69.239;221.034;157.947;63.087;. ;. ;. ;. ;. ;. ;18.527;12.375;6.152
;;Estadual;150.599;36.184;114.415;150.016;35.601;114.415;. ;. ;. ;583;583;. ;. ;. ;. 
;;Municipal;19.233;. ;19.233;. ;. ;. ;. ;. ;. ;19.233;. ;19.233;. ;. ;. 
;Privada;;556.109;398.725;157.384;107.618;99.907;7.711;48.116;48.116;. ;400.375;250.702;149.673;. ;. ;. 
;;Particular;504.801;356.909;147.892;83.171;75.460;7.711;40.236;40.236;. ;381.394;241.213;140.181;. ;. ;. 
;;Comun/Confes;51.308;41.816;9.492;24.447;24.447;. ;7.880;7.880;. ;18.981;9.489;9.492;. ;. ;. 
;;;;;;;;;;;;;;;;;
Maranhão;;;77.295;52.786;24.509;27.986;18.399;9.587;16.298;16.298;. ;31.807;16.956;14.851;1.204;1.133;71
;Pública;;29.190;19.532;9.658;27.986;18.399;9.587;. ;. ;. ;. ;. ;. ;1.204;1.133;71
;;Federal;17.432;15.043;2.389;16.228;13.910;2.318;. ;. ;. ;. ;. ;. ;1.204;1.133;71
;;Estadual;11.758;4.489;7.269;11.758;4.489;7.269;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;48.105;33.254;14.851;. ;. ;. ;16.298;16.298;. ;31.807;16.956;14.851;. ;. ;. 
;;Particular;47.019;32.889;14.130;. ;. ;. ;16.298;16.298;. ;30.721;16.591;14.130;. ;. ;. 
;;Comun/Confes;1.086;365;721;. ;. ;. ;. ;. ;. ;1.086;365;721;. ;. ;. 
Piauí;;;79.479;54.534;24.945;41.311;23.229;18.082;. ;. ;. ;36.441;30.025;6.416;1.727;1.280;447
;Pública;;43.393;24.864;18.529;41.311;23.229;18.082;. ;. ;. ;355;355;. ;1.727;1.280;447
;;Federal;26.025;18.236;7.789;24.298;16.956;7.342;. ;. ;. ;. ;. ;. ;1.727;1.280;447
;;Estadual;17.368;6.628;10.740;17.013;6.273;10.740;. ;. ;. ;355;355;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;36.086;29.670;6.416;. ;. ;. ;. ;. ;. ;36.086;29.670;6.416;. ;. ;. 
;;Particular;36.086;29.670;6.416;. ;. ;. ;. ;. ;. ;36.086;29.670;6.416;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
Ceará;;;136.781;99.565;37.216;75.004;54.433;20.571;. ;. ;. ;56.207;42.314;13.893;5.570;2.818;2.752
;Pública;;56.679;33.356;23.323;51.109;30.538;20.571;. ;. ;. ;. ;. ;. ;5.570;2.818;2.752
;;Federal;26.706;22.188;4.518;21.136;19.370;1.766;. ;. ;. ;. ;. ;. ;5.570;2.818;2.752
;;Estadual;29.973;11.168;18.805;29.973;11.168;18.805;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;80.102;66.209;13.893;23.895;23.895;. ;. ;. ;. ;56.207;42.314;13.893;. ;. ;. 
;;Particular;75.651;65.149;10.502;23.895;23.895;. ;. ;. ;. ;51.756;41.254;10.502;. ;. ;. 
;;Comun/Confes;4.451;1.060;3.391;. ;. ;. ;. ;. ;. ;4.451;1.060;3.391;. ;. ;. 
Rio Grande do Norte;;;83.091;58.423;24.668;64.501;42.565;21.936;. ;. ;. ;16.769;14.398;2.371;1.821;1.460;361
;Pública;;39.966;22.988;16.978;37.917;21.300;16.617;. ;. ;. ;228;228;. ;1.821;1.460;361
;;Federal;28.481;21.887;6.594;26.660;20.427;6.233;. ;. ;. ;. ;. ;. ;1.821;1.460;361
;;Estadual;11.485;1.101;10.384;11.257;873;10.384;. ;. ;. ;228;228;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;43.125;35.435;7.690;26.584;21.265;5.319;. ;. ;. ;16.541;14.170;2.371;. ;. ;. 
;;Particular;43.091;35.435;7.656;26.584;21.265;5.319;. ;. ;. ;16.507;14.170;2.337;. ;. ;. 
;;Comun/Confes;34;. ;34;. ;. ;. ;. ;. ;. ;34;. ;34;. ;. ;. 
Paraíba;;;77.829;41.555;36.274;41.746;18.730;23.016;7.880;7.880;. ;25.115;12.380;12.735;3.088;2.565;523
;Pública;;44.834;21.295;23.539;41.746;18.730;23.016;. ;. ;. ;. ;. ;. ;3.088;2.565;523
;;Federal;35.328;20.827;14.501;32.240;18.262;13.978;. ;. ;. ;. ;. ;. ;3.088;2.565;523
;;Estadual;9.506;468;9.038;9.506;468;9.038;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;32.995;20.260;12.735;. ;. ;. ;7.880;7.880;. ;25.115;12.380;12.735;. ;. ;. 
;;Particular;25.115;12.380;12.735;. ;. ;. ;. ;. ;. ;25.115;12.380;12.735;. ;. ;. 
;;Comun/Confes;7.880;7.880;. ;. ;. ;. ;7.880;7.880;. ;. ;. ;. ;. ;. ;. 
Pernambuco;;;175.152;98.839;76.313;69.775;51.234;18.541;. ;. ;. ;103.711;46.747;56.964;1.666;858;808
;Pública;;76.102;37.520;38.582;55.203;36.662;18.541;. ;. ;. ;19.233;. ;19.233;1.666;858;808
;;Federal;39.219;31.090;8.129;37.553;30.232;7.321;. ;. ;. ;. ;. ;. ;1.666;858;808
;;Estadual;17.650;6.430;11.220;17.650;6.430;11.220;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;19.233;. ;19.233;. ;. ;. ;. ;. ;. ;19.233;. ;19.233;. ;. ;. 
;Privada;;99.050;61.319;37.731;14.572;14.572;. ;. ;. ;. ;84.478;46.747;37.731;. ;. ;. 
;;Particular;81.402;46.970;34.432;4.205;4.205;. ;. ;. ;. ;77.197;42.765;34.432;. ;. ;. 
;;Comun/Confes;17.648;14.349;3.299;10.367;10.367;. ;. ;. ;. ;7.281;3.982;3.299;. ;. ;. 
Alagoas;;;58.791;45.676;13.115;25.151;15.336;9.815;. ;. ;. ;32.316;29.709;2.607;1.324;631;693
;Pública;;26.475;15.967;10.508;25.151;15.336;9.815;. ;. ;. ;. ;. ;. ;1.324;631;693
;;Federal;18.161;14.498;3.663;16.837;13.867;2.970;. ;. ;. ;. ;. ;. ;1.324;631;693
;;Estadual;8.314;1.469;6.845;8.314;1.469;6.845;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;32.316;29.709;2.607;. ;. ;. ;. ;. ;. ;32.316;29.709;2.607;. ;. ;. 
;;Particular;32.142;29.709;2.433;. ;. ;. ;. ;. ;. ;32.142;29.709;2.433;. ;. ;. 
;;Comun/Confes;174;. ;174;. ;. ;. ;. ;. ;. ;174;. ;174;. ;. ;. 
Sergipe;;;46.148;27.367;18.781;34.203;16.901;17.302;. ;. ;. ;11.253;9.877;1.376;692;589;103
;Pública;;17.296;1.915;15.381;16.604;1.326;15.278;. ;. ;. ;. ;. ;. ;692;589;103
;;Federal;17.296;1.915;15.381;16.604;1.326;15.278;. ;. ;. ;. ;. ;. ;692;589;103
;;Estadual;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;28.852;25.452;3.400;17.599;15.575;2.024;. ;. ;. ;11.253;9.877;1.376;. ;. ;. 
;;Particular;28.852;25.452;3.400;17.599;15.575;2.024;. ;. ;. ;11.253;9.877;1.376;. ;. ;. 
;;Comun/Confes;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
