IES_ID;IES_NAME
218;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE DUQUE DE CAXIAS
219;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL
220;FACULDADE SÃO JUDAS TADEU
221;UNIVERSIDADE CRUZEIRO DO SUL
222;CENTRO UNIVERSITÁRIO DE VOTUPORANGA
223;FACULDADE DE EDUCACAO FISICA DE SANTO ANDRE
224;FACULDADE DE MEDICINA DO ABC
225;INSTITUTO DE ENSINO SUPERIOR SANTO ANDRÉ
226;CENTRO UNIVERSITÁRIO LUSÍADA
227;UNIVERSIDADE CATÓLICA DE SANTOS
228;FACULDADE DE ENGENHARIA INDUSTRIAL DE SAO BERNARDO DO CAMPO
229;ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS DE SAO BERNARDO DO CAMPO
230;ESCOLA SUPERIOR DE ADMINISTRACAO DE NEGOCIOS DE SAO PAULO
231;FACULDADE DE SÃO BERNARDO DO CAMPO - FASB
234;FACULDADES OSWALDO CRUZ
236;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS DE SAO JOAO DA BOA VISTA
237;FACULDADE DE DIREITO DE SAO JOAO DA BOA VISTA
238;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SAO JOAO DA BOA VISTA
239;FACULDADE DE MEDICINA VETERINARIA OCTAVIO BASTOS
240;UNIVERSIDADE SANTA ÚRSULA
241;FACULDADE DE ENGENHARIA QUIMICA DE LORENA
242;CENTRO UNIVERSITÁRIO ANHANGUERA
243;FACULDADE DO CLUBE NÁUTICO MOGIANO
244;CENTRO UNIVERSITÁRIO FIEO
245;FACULDADE DE ADMINISTRAÇÃO
254;CENTRO UNIVERSITÁRIO CAPITAL
255;FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRASSUNUNGA - FEAP
256;FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE PIRAJU
257;FACULDADE DE ADMINISTRAÇÃO E CIÊNCIAS CONTÁBEIS LUZWELL
263;FACULDADES INTEGRADAS CAMPOS SALLES
264;UNIVERSIDADE SAO MARCOS
265;FACULDADES INTEGRADAS DE OURINHOS
266;UNIVERSIDADE METODISTA DE PIRACICABA
267;FACULDADES INTEGRADAS ESPÍRITO SANTENSES
268;FACULDADE DE DIREITO DA ALTA PAULISTA
269;FACULDADE FACCAT
270;FACULDADES ESEFAP
271;UNIVERSIDADE DO OESTE PAULISTA
273;ESCOLA DE ENGENHARIA INDUSTRIAL DE SAO JOSE DOS CAMPOS
274;FACULDADE DE CIENCIAS APLICADAS DE SAO JOSE DOS CAMPOS
275;UNIVERSIDADE DO VALE DO PARAÍBA
276;FACULDADE DE DIREITO DE SOROCABA
277;CENTRO UNIVERSITÁRIO AUGUSTO MOTTA
278;FACULDADES INTEGRADAS SIMONSEN
279;FACULDADES INTEGRADAS HÉLIO ALONSO
280;FACULDADE DE DIREITO DO OESTE DE MINAS
281;CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO
282;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS COSTA BRAGA
283;FACULDADE DE EDUCAÇÃO COSTA BRAGA
284;FACULDADE DE MEDICINA DE ITAJUBÁ
288;FACULDADE DE DIREITO DO VALE DO RIO DOCE
289;FACULDADE DE EDUCACAO DE JOINVILLE
290;FACULDADE DE DIREITO DE JOINVILLE
291;FACULDADE DE PSICOLOGIA DE JOINVILLE
292;FACULDADE DE CIENCIAS DA SAUDE DE JOINVILLE
293;FACULDADE DE CIENCIAS E TECNOLOGIA DE JOINVILLE
294;FACULDADE TRÊS DE MAIO
295;UNIVERSIDADE DE SANTA CRUZ DO SUL
296;UNIVERSIDADE DA REGIÃO DA CAMPANHA
297;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS SAO JUDAS TADEU
298;UNIVERSIDADE NORTE DO PARANÁ
299;FACULDADE DE JANDAIA DO SUL
300;FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE FORMIGA
301;ESCOLA DE BIBLIOTECONOMIA
302;FACULDADE DE CIÊNCIAS ECONÔMICAS, ADMINISTRATIVAS E CONTÁBEIS DE DIVINÓPOLIS
303;FACULDADE DE FILOSOFIA, CIENCIAS E LETRAS DE CATAGUASES
304;FACULDADE DE CIENCIAS CONTABEIS DE CARATINGA
307;FACULDADE DE MEDICINA DE BARBACENA
308;UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS
316;UNIVERSIDADE NOVE DE JULHO
317;FACULDADES INTEGRADAS ALCANTARA MACHADO
318;FACULDADE DE ARTES ALCANTARA MACHADO
319;UNIVERSIDADE CAMILO CASTELO BRANCO
320;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE TATUÍ
321;FACULDADE DE DESENHO DE TATUÍ
322;UNIVERSIDADE PAULISTA
328;FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS VIANNA JUNIOR
329;ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUACU PAULISTA
330;UNIVERSIDADE IGUAÇU
332;ESCOLA DE ENGENHARIA DE LINS
333;FACULDADE DE INFORMATICA DE LINS
334;FACULDADE DE SERVICO SOCIAL DE LINS
335;FACULDADE DE EDUCACAO E CIENCIAS PINHEIRENSE
336;FACULDADE MACHADO SOBRINHO
337;CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA
338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS
339;FACULDADE SANTA EMÍLIA DE RODAT
343;CENTRO UNIVERSITÁRIO NEWTON PAIVA
344;CENTRO UNIVERSITÁRIO UNA
345;ESCOLA DE ENGENHARIA KENNEDY
346;INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA
349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE
351;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS
352;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA
353;FACULDADE EVANGÉLICA DO PARANÁ
355;UNIVERSIDADE TUIUTI DO PARANÁ
359;ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE MUZAMBINHO
360;CENTRO UNIVERSITÁRIO PAULISTANO
361;FACULDADE PAULISTA DE SERVIÇO SOCIAL DE SÃO CAETANO DO SUL
362;FACULDADE PAULISTA DE SERVIÇO SOCIAL
363;FACULDADE MOZARTEUM DE SÃO PAULO
364;FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA
367;UNIVERSIDADE ESTADUAL DE MONTES CLAROS
368;FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA
369;FACULDADE AUXILIUM DE FILOSOFIA CIENCIAS E LETRAS DE LINS
370;FACULDADE PAULISTA DE ARTES
371;FACULDADE DE MÚSICA CARLOS GOMES
372;FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
373;ESCOLA DE SOCIOLOGIA E POLÍTICA DE SÃO PAULO
374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS
375;UNIVERSIDADE DE SANTO AMARO
376;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO
377;FACULDADE DE EDUCACAO PADRE ANCHIETA
378;FACULDADE DE DIREITO PADRE ANCHIETA
379;FACULDADE DE CIENCIAS E LETRAS PADRE ANCHIETA
380;FACULDADE DE CIENCIAS ECONOMICAS, CONTABEIS E DE ADM DE EMPRESAS PADRE ANCHIETA
381;FACULDADE DE PSICOLOGIA PADRE ANCHIETA
382;FACULDADE DE TECNOLOGIA PADRE ANCHIETA
383;UNIVERSIDADE DA AMAZÔNIA
384;CENTRO UNIVERSITÁRIO DE ANÁPOLIS
385;UNIVERSIDADE SALVADOR
386;CENTRO UNIVERSITÁRIO DE GOIÁS
387;UNIVERSIDADE CATÓLICA DOM BOSCO
388;FACULDADE DE CIENCIAS CONTABEIS E ATUARIAIS DA ALTA NOROESTE
389;FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTABEIS DE LINS
390;FACULDADE DE EDUCACAO FISICA DE LINS
391;FACULDADE DE TECNOLOGIA DA ALTA NOROESTE
395;FACULDADE DE CIÊNCIAS CONTÁBEIS DE LUCÉLIA
396;FACULDADE RUY BARBOSA
397;FACULDADE RUY BARBOSA DE TECNOLOGIA EM PROCESSAMENTO DE DADOS
398;UNIVERSIDADE TIRADENTES
399;ESCOLA DE ENGENHARIA DE AGRIMENSURA
400;FACULDADE DE DIREITO DE OLINDA
401;CENTRO DE ESTUDOS SUPERIORES BARROS MELO
402;CENTRO UNIVERSITÁRIO DE BRASÍLIA
403;UNIVERSIDADE CATÓLICA DE BRASÍLIA
404;FACULDADES INTEGRADAS DA UPIS
405;FOCCA - FACULDADE DE OLINDA
408;ESCOLA SUPERIOR DE RELAÇÕES PÚBLICAS
409;UNIVERSIDADE DE PERNAMBUCO
410;FACULDADE DE CIÊNCIAS HUMANAS ESUDA
413;FACULDADE PORTOALEGRENSE DE EDUCACAO, CIENCIAS E LETRAS
414;FACULDADE PORTOALEGRENSE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS
415;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO
416;FACULDADE DE SÃO PAULO
417;UNIVERSIDADE CIDADE DE SÃO PAULO
420;UNIVERSIDADE DE MARÍLIA
421;FACULDADE ESTADUAL DE CIÊNCIAS E LETRAS DE CAMPO MOURÃO
423;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES
424;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS DE SANTA ROSA
425;FACULDADE DE EDUCACAO ARTISTICA DE SANTA ROSA
426;CENTRO UNIVERSITÁRIO FRANCISCANO
428;FACULDADE DE CIENCIAS CONTABEIS E DE ADMINISTRACAO DE MARILIA
429;FACULDADE DE DIREITO DE MARILIA
430;CENTRO UNIVERSITÁRIO FILADÉLFIA
431;FACULDADE DE MEDICINA DE MARÍLIA
432;FACULDADE PARANAENSE
433;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE PALMAS
434;FACULDADE SANTA MARCELINA
435;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SANTA MARCELINA
436;FACULDADE DE CIENCIAS DA SAUDE
437;UNIVERSIDADE PARANAENSE
438;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA
439;FACULDADE DOUTOR FRANCISCO MAEDA
440;FACULDADE DE DIREITO DE ITÚ
441;UNIVERSIDADE DO CONTESTADO
442;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE ITARARE
443;FACULDADE DE CIENCIAS CONTABEIS E ADMINISTRATIVAS DE ITARARE
446;UNIVERSIDADE DE CRUZ ALTA
447;FACULDADE CATÓLICA DE CIÊNCIAS ECONÔMICAS DA BAHIA
448;CENTRO UNIVERSITÁRIO RITTER DOS REIS
449;UNIVERSIDADE LUTERANA DO BRASIL
450;CENTRO UNIVERSITÁRIO LUTERANO DE JI-PARANÁ
451;CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM
452;CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS
453;CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS
454;FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS
455;FACULDADE DE FORMAÇÃO DE PROFESSORES E ESPECIALISTAS DE EDUCAÇÃO
456;CENTRO UNIVERSITÁRIO SANT´ANNA
457;UNIVERSIDADE BANDEIRANTE DE SÃO PAULO
458;UNIVERSIDADE IBIRAPUERA
459;FACULDADE RENASCENCA
460;FACULDADE DE ARTES PLÁSTICAS DA FUNDAÇÃO ARMANDO ALVARES PENTEADO
