cod_regsaude;municipio
26001;260010
26001;260250
26001;260390
26001;260690
26001;260710
26001;260770
26001;261153
26001;261280
26001;261360
26001;261440
26001;261460
26001;261590
26002;260120
26002;260280
26002;260510
26002;260660
26002;260700
26002;260805
26002;260915
26002;261080
26002;261100
26002;261410
26002;261480
26002;261580
26002;261600
26003;260030
26003;260060
26003;260080
26003;260130
26003;260170
26003;260190
26003;260230
26003;260260
26003;260310
26003;260350
26003;260410
26003;260500
26003;260580
26003;260640
26003;260670
26003;260800
26003;260840
26003;261020
26003;261090
26003;261120
26003;261170
26003;261200
26003;261240
26003;261250
26003;261270
26003;261300
26003;261310
26003;261330
26003;261470
26003;261500
26003;261540
26003;261620
26004;260050
26004;260100
26004;260210
26004;260240
26004;260320
26004;260330
26004;260370
26004;260380
26004;260470
26004;260600
26004;260650
26004;260750
26004;260825
26004;260830
26004;260860
26004;260880
26004;261010
26004;261030
26004;261230
26004;261320
26004;261510
26005;260070
26005;260360
26005;260460
26005;260550
26005;260620
26005;260765
26005;260780
26005;260900
26005;261380
26005;261530
26006;260220
26006;260270
26006;260400
26006;260415
26006;260490
26006;260540
26006;260810
26006;260845
26006;260850
26006;260890
26006;260910
26006;260950
26006;260970
26006;261050
26006;261060
26006;261210
26006;261450
26006;261550
26006;261618
26006;261630
26007;260110
26007;260200
26007;260530
26007;260630
26007;260730
26007;260990
26007;261040
26007;261245
26007;261255
26007;261430
26007;261560
26008;260040
26008;260090
26008;260140
26008;260150
26008;260420
26008;260480
26008;260520
26008;260590
26008;260795
26008;260820
26008;260870
26008;260920
26008;261000
26008;261140
26008;261150
26008;261180
26008;261190
26008;261290
26008;261340
26008;261420
26008;261485
26008;261650
26009;260020
26009;260300
26009;260515
26009;260875
26009;260980
26009;261110
26009;261260
26010;260005
26010;260105
26010;260290
26010;260345
26010;260440
26010;260450
25000;259999
26010;260545
26010;260610
26010;260680
26010;260720
26010;260760
26010;260775
26010;260790
26010;260940
26010;260960
26010;261070
26010;261130
26010;261160
26010;261370
26010;261640
26011;260160
26011;260430
26011;260930
26011;261220
26011;261400
26011;261520
26011;261610
26012;260180
26012;260340
26012;260392
26012;260560
26012;260570
26012;260740
26012;261247
26012;261350
26012;261390
26012;261570
26000;260000
27001;270050
27001;270060
27001;270220
27001;270280
27001;270430
27001;270470
27001;270520
27001;270644
27001;270690
27001;270770
27001;270790
27001;270890
27002;270350
27002;270360
27002;270450
27002;270510
27002;270650
27002;270730
27002;270740
27002;270850
27002;270870
27003;270110
27003;270135
27003;270210
27003;270300
27003;270380
27003;270390
27003;270550
27003;270560
27003;270810
27003;270830
27003;270930
27004;270040
27004;270130
27004;270170
27004;270190
27004;270490
27004;270660
27004;270700
27004;270760
27004;270940
27005;270020
27005;270100
27005;270140
27005;270400
27005;270780
27005;270860
27005;270915
27006;270230
27006;270270
27006;270320
27006;270375
27006;270670
27006;270680
27006;270750
27006;270820
27007;270030
27007;270070
27007;270090
27007;270150
27007;270200
27007;270235
27007;270260
27007;270290
27007;270340
27007;270370
27007;270410
27007;270420
27007;270440
27007;270590
27007;270880
27007;270910
27007;270920
27008;270080
27008;270120
27008;270255
27008;270310
27008;270480
27008;270530
27008;270630
27008;270900
27009;270160
27009;270180
27009;270250
27009;270460
27009;270540
27009;270570
27009;270600
27009;270610
27009;270620
27009;270640
27009;270720
27009;270800
27009;270840
27009;270895
27010;270010
27010;270240
27010;270330
27010;270500
27010;270580
27010;270642
27010;270710
26000;269999
27000;270000
28001;280030
28001;280060
28001;280200
28001;280320
28001;280360
28001;280590
28001;280650
28001;280670
28002;280040
28002;280067
28002;280170
28002;280210
28002;280280
28002;280300
28002;280510
28002;280630
28002;280750
28002;280760
28003;280050
28003;280100
28003;280140
28003;280230
28003;280290
28003;280370
28003;280390
28003;280410
28003;280445
28003;280500
28003;280520
28003;280600
28003;280680
28003;280700
28004;280350
28004;280550
28004;280580
28004;280620
28004;280710
28004;280740
28005;280120
28005;280220
28005;280240
28005;280260
28005;280310
28005;280420
28005;280450
28005;280540
28005;280560
28006;280130
28006;280150
28006;280190
28006;280250
28006;280330
28006;280400
28006;280460
28006;280480
28006;280530
28006;280610
28006;280660
28006;280720
28007;280010
28007;280020
28007;280070
28007;280110
28007;280160
28007;280270
28007;280340
28007;280380
28007;280430
28007;280440
28007;280470
28007;280490
28007;280570
28007;280640
28007;280690
28007;280730
27000;279999
28000;280000
29001;290030
29001;290070
29001;290190
29001;290205
29001;290220
29001;290700
29001;290750
29001;290960
29001;291050
29001;291060
29001;291370
29001;291590
29001;291650
29001;291790
29001;292330
29001;292410
29001;292700
29001;292970
29002;290140
29002;290250
29002;290320
29002;290440
29002;290740
29002;290940
29002;290970
29002;291110
29002;291955
29002;292045
29002;292620
29002;292840
29002;292890
29002;293090
29002;293345
29003;290050
29003;290200
29003;290280
29003;290410
29003;290420
29003;290460
29003;290755
29003;290880
29003;291010
29003;291165
29003;291220
29003;291250
29003;291720
29003;291860
29003;291950
29003;291980
29003;292030
29003;292360
29003;292670
29003;292690
29003;293100
29004;290570
29004;290860
29004;291005
29004;292100
29004;292520
29004;293070
29005;290485
29005;290490
29005;290820
29005;290980
29005;291160
29005;292060
29005;292230
29005;292900
29005;292960
29006;290110
29006;290150
29006;290170
29006;290260
29006;290640
29006;290685
29006;290850
29006;290890
29006;291080
29006;291125
29006;291330
29006;291380
29006;291400
29006;291450
29006;292210
29006;292273
29006;292405
29006;292465
29006;292595
29006;292630
29006;292750
29006;292830
29006;292880
29006;292930
29006;293040
29006;293110
29006;293140
29006;293170
29007;290500
29007;290520
29007;290660
29007;290710
29007;291170
29007;291200
29007;291340
29007;291733
29007;291740
29007;291875
29007;291940
29007;292020
29007;292105
29007;292180
29007;292340
29007;292450
29007;292640
29007;292680
29007;293000
29007;293105
29007;293260
29008;290270
29008;290450
29008;290475
29008;291320
29008;291410
29008;292160
29008;292225
29008;292320
29008;292370
29009;290225
29009;290630
29009;291360
29009;291490
29009;292090
29009;292805
29009;293250
29009;293270
29010;290115
29010;290300
29010;290323
29010;290530
29010;290620
29010;290760
29010;291130
29010;291240
29010;291310
29010;291460
29010;291535
29010;291835
29010;291850
29010;291915
29010;292205
29010;292560
29010;292925
29010;293240
29010;293360
29011;290130
29011;290380
29011;290405
29011;291190
29011;291260
29011;291470
29011;291500
29011;291900
29011;291960
29011;292080
29011;292285
29011;292720
29011;293280
29011;293340
29012;290090
29012;290240
29012;290330
29012;290470
29012;290560
29012;290800
29012;291100
29012;291150
29012;291210
29012;291270
29012;291480
29012;291540
29012;291550
29012;291620
29012;291660
29012;291855
29012;292070
29012;292390
29012;292780
29012;292935
29012;293220
29012;293230
29013;290480
29013;291090
29013;291230
29013;291350
29013;291580
29013;291640
29013;291680
29013;291710
29013;291970
29013;292000
29013;292270
29013;292540
29014;290510
29014;290550
29014;290687
29014;291750
29014;292010
29014;292120
29014;292140
29014;292170
29014;292335
29014;292480
29014;292593
29014;292937
29014;292980
29014;293060
29014;293130
29014;293245
29014;293305
29014;293310
29014;293315
29015;290060
29015;290195
29015;290310
29015;290370
29015;290430
29015;290950
29015;291000
29015;291290
29015;291390
29015;291420
29015;291430
29015;291510
29015;291520
29015;291570
29015;291670
29015;291690
29015;291760
29015;291800
29015;291830
29015;291870
29015;291905
29015;292040
29015;292050
29015;292490
29015;292790
29016;290590
29016;290682
29016;290720
29016;290990
29016;291840
29016;292440
29016;292600
29016;293020
29016;293077
29016;293200
29017;290020
29017;290770
29017;291140
29017;291810
29017;291990
29017;292400
29017;292420
29017;292710
29017;292760
29018;290340
29018;291072
29018;291180
29018;291465
29018;291530
29018;291630
29018;292530
29018;292770
29019;290035
29019;290160
29019;290265
29019;290780
29019;290790
29019;290920
29019;291075
29019;291185
29019;292290
29019;292305
29019;292310
29019;292380
29019;292650
29019;292660
29019;293076
29020;290650
29020;291610
29020;291920
29020;291992
29020;292740
29020;292860
29020;292920
29020;292950
29020;292975
29020;293320
29021;290390
29021;290610
29021;290810
29021;290910
29021;290930
29021;291077
29021;291735
29021;292810
29021;292820
29021;292905
28000;289999
29021;293015
29021;293030
29021;293075
29022;290100
29022;290230
29022;290730
29022;290830
29022;291020
29022;291030
29022;291685
29022;291780
29022;291820
29022;291880
29022;292130
29022;292220
29022;292240
29022;292250
29022;292280
29022;292575
29022;292730
29022;292850
29022;292870
29022;292910
29022;292940
29022;293210
29022;293317
29023;290010
29023;290400
29023;291300
29023;291440
29023;291930
29023;292190
29023;292303
29023;292350
29023;292430
29023;292990
29023;293080
29024;290135
29024;290180
29024;290600
29024;291085
29024;291700
29024;291770
29024;292460
29024;292525
29024;293010
29025;290040
29025;290210
29025;290327
29025;290360
29025;290680
29025;290840
29025;291070
29025;291910
29025;292150
29025;292265
29025;292580
29025;292590
29025;292610
29025;292800
29025;292895
29025;293050
29025;293150
29025;293190
29025;293300
29026;290080
29026;290690
29026;291280
29026;291560
29026;291600
29026;291845
29026;291890
29026;292110
29026;292200
29026;292300
29026;292550
29026;293135
29026;293325
29027;290540
29027;290580
29027;291120
29027;291345
29027;291730
29027;292260
29027;292275
29027;292467
29027;293120
29027;293160
29027;293290
29027;293350
29028;290120
29028;290290
29028;290350
29028;290395
29028;290515
29028;290670
29028;290689
29028;290870
29028;290900
29028;291040
29028;291995
29028;292145
29028;292470
29028;292500
29028;292510
29028;292570
29028;292665
29028;293180
29028;293330
29021;293025
29000;290000
31001;310090
31001;310660
31001;312015
31001;312705
31001;313890
31001;314535
31001;314850
31001;315765
31001;317030
31002;310150
31002;312460
31002;315110
31002;316000
31002;317210
31003;310160
31003;310200
31003;310430
31003;310530
31003;310840
31003;311100
31003;311130
31003;311160
31003;311440
31003;311470
31003;311710
31003;312240
31003;312520
31003;313900
31003;314720
31003;315170
31003;316690
31004;310170
31004;310520
31004;312245
31004;312560
31004;313470
31004;313580
31004;313600
31004;313650
